 #V_push =    1.60943791E-02
   100.923149         0.961979151           1.72295782E-03 	   1.62429547    
   100.933151         0.961979747           1.68663298E-03 	   1.62445641    
   100.943153         0.961979985           1.64897740E-03 	   1.62461734    
   100.953156         0.962013185           5.18342666E-03 	   1.62477839    
   100.963158         0.962049782           2.09914823E-03 	   1.62493932    
   100.973160         0.962054312           2.09980318E-03 	   1.62510037    
   100.983162         0.962058902           2.10214057E-03 	   1.62526131    
   100.993164         0.962063491           2.10629730E-03 	   1.62542224    
   101.003166         0.962068141           2.11242284E-03 	   1.62558329    
   101.013168         0.962072849           2.12068041E-03 	   1.62574422    
   101.023170         0.962077677           2.13124324E-03 	   1.62590516    
   101.033173         0.962082624           2.14430015E-03 	   1.62606621    
   101.043175         0.962087691           2.16005603E-03 	   1.62622714    
   101.053177         0.962092936           2.17873021E-03 	   1.62638819    
   101.063179         0.962098360           2.20056088E-03 	   1.62654912    
   101.073181         0.962104023           2.22580531E-03 	   1.62671006    
   101.083183         0.962109983           2.25474127E-03 	   1.62687111    
   101.093185         0.962116241           2.28766911E-03 	   1.62703204    
   101.103188         0.962122858           2.32491293E-03 	   1.62719297    
   101.113190         0.962129891           2.36682314E-03 	   1.62735403    
   101.123192         0.962137341           2.41377694E-03 	   1.62751496    
   101.133194         0.962145269           2.46618222E-03 	   1.62767601    
   101.143196         0.962153792           2.52448022E-03 	   1.62783694    
   101.153198         0.962162912           2.58914521E-03 	   1.62799788    
   101.163200         0.962172687           2.66069034E-03 	   1.62815893    
   101.173203         0.962183237           2.73967045E-03 	   1.62831986    
   101.183205         0.962194622           2.82668043E-03 	   1.62848091    
   101.193207         0.962206900           2.92236544E-03 	   1.62864184    
   101.203209         0.962220192           3.02741770E-03 	   1.62880278    
   101.213211         0.962234557           3.14258528E-03 	   1.62896383    
   101.223213         0.962250173           3.26867402E-03 	   1.62912476    
   101.233215         0.962267101           7.32166227E-05 	   1.62928569    
   101.243217         0.962285399           6.88166451E-03 	   1.62944674    
   101.253220         0.962339878           3.97625007E-03 	   1.62960768    
   101.263222         0.962364197           8.42219451E-04 	   1.62976873    
   101.273224         0.962390482           7.71566853E-03 	   1.62992966    
   101.283226         0.962453604           4.87845298E-03 	   1.63009059    
   101.293228         0.962487280           1.82057102E-03 	   1.63025165    
   101.303230         0.962489188           1.84900418E-03 	   1.63041258    
   101.313232         0.962491393           1.88143807E-03 	   1.63057363    
   101.323235         0.962493956           1.91819889E-03 	   1.63073456    
   101.333237         0.962496877           1.95963890E-03 	   1.63089550    
   101.343239         0.962500274           2.00613867E-03 	   1.63105655    
   101.353241         0.962504148           2.05810927E-03 	   1.63121748    
   101.363243         0.962508559           2.11599353E-03 	   1.63137841    
   101.373245         0.962513566           2.18027108E-03 	   1.63153946    
   101.383247         0.962519288           2.25145975E-03 	   1.63170040    
   101.393250         0.962525725           2.33011600E-03 	   1.63186145    
   101.403252         0.962532997           2.41684192E-03 	   1.63202238    
   101.413254         0.962541163           2.51228712E-03 	   1.63218331    
   101.423256         0.962550342           2.61715078E-03 	   1.63234437    
   101.433258         0.962560654           2.73218844E-03 	   1.63250530    
   101.443260         0.962572157           2.85821152E-03 	   1.63266623    
   101.453262         0.962584972           2.99609732E-03 	   1.63282728    
   101.463264         0.962599218           3.14678834E-03 	   1.63298821    
   101.473267         0.962615073           3.31129995E-03 	   1.63314927    
   101.483269         0.962632596           1.57387927E-04 	   1.63331020    
   101.493271         0.962651968           7.01052509E-03 	   1.63347113    
   101.503273         0.962707937           4.15307470E-03 	   1.63363218    
   101.513275         0.962734282           1.07131223E-03 	   1.63379312    
   101.523277         0.962763131           8.00090656E-03 	   1.63395417    
   101.533279         0.962829411           5.22340927E-03 	   1.63411510    
   101.543282         0.962866843           2.23086472E-03 	   1.63427603    
   101.553284         0.962873220           2.33101519E-03 	   1.63443708    
   101.563286         0.962880611           2.44100206E-03 	   1.63459802    
   101.573288         0.962889194           2.56161508E-03 	   1.63475895    
   101.583290         0.962899029           2.69370363E-03 	   1.63492000    
   101.593292         0.962910235           2.83818319E-03 	   1.63508093    
   101.603294         0.962922931           2.99603958E-03 	   1.63524199    
   101.613297         0.962937295           3.16833518E-03 	   1.63540292    
   101.623299         0.962953448           2.28770077E-05 	   1.63556385    
   101.633301         0.962971509           6.88542472E-03 	   1.63572490    
   101.643303         0.963026285           4.03837580E-03 	   1.63588583    
   101.653305         0.963051498           9.67508880E-04 	   1.63604689    
   101.663307         0.963079393           7.90898968E-03 	   1.63620782    
   101.673309         0.963144839           5.14458399E-03 	   1.63636875    
   101.683311         0.963181555           2.16593430E-03 	   1.63652980    
   101.693314         0.963187337           2.28092493E-03 	   1.63669074    
   101.703316         0.963194311           2.40698247E-03 	   1.63685167    
   101.713318         0.963202596           2.54499307E-03 	   1.63701272    
   101.723320         0.963212371           2.69591040E-03 	   1.63717365    
   101.733322         0.963223696           2.86076148E-03 	   1.63733470    
   101.743324         0.963236749           3.04065319E-03 	   1.63749564    
   101.753326         0.963251650           3.23677482E-03 	   1.63765657    
   101.763329         0.963268638           1.17069809E-04 	   1.63781762    
   101.773331         0.963287771           7.00722914E-03 	   1.63797855    
   101.783333         0.963343918           4.18972783E-03 	   1.63813961    
   101.793335         0.963370800           1.15117338E-03 	   1.63830054    
   101.803337         0.963400722           8.12732708E-03 	   1.63846147    
   101.813339         0.963468552           5.39963134E-03 	   1.63862252    
   101.823341         0.963508070           2.46123993E-03 	   1.63878345    
   101.833344         0.963517010           2.62053846E-03 	   1.63894439    
   101.843346         0.963527620           2.79447436E-03 	   1.63910544    
   101.853348         0.963540077           2.98421015E-03 	   1.63926637    
   101.863350         0.963554502           3.19099380E-03 	   1.63942742    
   101.873352         0.963571072           8.28341581E-05 	   1.63958836    
   101.883354         0.963589907           6.98553259E-03 	   1.63974929    
   101.893356         0.963645935           4.18160344E-03 	   1.63991034    
   101.903358         0.963672817           1.15766912E-03 	   1.64007127    
   101.913361         0.963702857           8.14960059E-03 	   1.64023221    
   101.923363         0.963770986           5.43884281E-03 	   1.64039326    
   101.933365         0.963810980           2.51881010E-03 	   1.64055419    
   101.943367         0.963820577           2.69810366E-03 	   1.64071524    
   101.953369         0.963832080           2.89365835E-03 	   1.64087617    
   101.963371         0.963845611           3.10675870E-03 	   1.64103711    
   101.973373         0.963861346           5.45359217E-06 	   1.64119816    
   101.983376         0.963879466           6.91572390E-03 	   1.64135909    
   101.993378         0.963934839           4.12010308E-03 	   1.64152014    
   102.003380         0.963961184           1.10496092E-03 	   1.64168108    
   102.013382         0.963990748           8.10644031E-03 	   1.64184201    
   102.023384         0.964058459           5.40611427E-03 	   1.64200306    
   102.033386         0.964098155           2.49723787E-03 	   1.64216399    
   102.043388         0.964107633           2.68852618E-03 	   1.64232492    
   102.053391         0.964119077           2.89706117E-03 	   1.64248598    
   102.063393         0.964132726           3.12420377E-03 	   1.64264691    
   102.073395         0.964148760           3.80838756E-05 	   1.64280796    
   102.083397         0.964167297           6.96467981E-03 	   1.64296889    
   102.093399         0.964223206           4.18657530E-03 	   1.64312983    
   102.103401         0.964250267           1.19051826E-03 	   1.64329088    
   102.113403         0.964280784           8.21251329E-03 	   1.64345181    
   102.123405         0.964349687           5.53395785E-03 	   1.64361286    
   102.133408         0.964390755           2.64887814E-03 	   1.64377379    
   102.143410         0.964401841           2.86629703E-03 	   1.64393473    
   102.153412         0.964415252           3.10305948E-03 	   1.64409578    
   102.163414         0.964431107           2.73515470E-05 	   1.64425671    
   102.173416         0.964449584           6.96521532E-03 	   1.64441764    
   102.183418         0.964505553           4.19926550E-03 	   1.64457870    
   102.193420         0.964532852           1.21635874E-03 	   1.64473963    
   102.203423         0.964563668           8.25252198E-03 	   1.64490068    
   102.213425         0.964633048           5.58910798E-03 	   1.64506161    
   102.223427         0.964674771           2.72048800E-03 	   1.64522254    
   102.233429         0.964686692           2.95588863E-03 	   1.64538360    
   102.243431         0.964701056           3.21208104E-03 	   1.64554453    
   102.253433         0.964718103           1.57355797E-04 	   1.64570558    
   102.263435         0.964737952           7.11760251E-03 	   1.64586651    
   102.273438         0.964795589           4.37547872E-03 	   1.64602745    
   102.283440         0.964824736           1.41875795E-03 	   1.64618850    
   102.293442         0.964857757           8.48300755E-03 	   1.64634943    
   102.303444         0.964929581           5.84906433E-03 	   1.64651036    
   102.313446         0.964974046           3.01286951E-03 	   1.64667141    
   102.323448         0.964989066           3.28412303E-03 	   1.64683235    
   102.333450         0.965006888           2.45661940E-04 	   1.64699340    
   102.343452         0.965027750           7.22329319E-03 	   1.64715433    
   102.353455         0.965086520           4.49968316E-03 	   1.64731526    
   102.363457         0.965117037           1.56327174E-03 	   1.64747632    
   102.373459         0.965150356           5.29561657E-03 	   1.64763725    
   102.383461         0.965189159           2.42520962E-03 	   1.64779818    
   102.393463         0.965198100           2.65787006E-03 	   1.64795923    
   102.403465         0.965209484           2.91117746E-03 	   1.64812016    
   102.413467         0.965223491           3.18675395E-03 	   1.64828122    
   102.423470         0.965240359           1.53004192E-04 	   1.64844215    
   102.433472         0.965260327           7.13591138E-03 	   1.64860308    
   102.443474         0.965318263           4.41819057E-03 	   1.64876413    
   102.453476         0.965348005           1.48791191E-03 	   1.64892507    
   102.463478         0.965381861           8.58065300E-03 	   1.64908612    
   102.473480         0.965454817           5.97705971E-03 	   1.64924705    
